NET LEARNED FROM SETS {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}
0	—> [0, 0, 0, 0]
1	—> [0, 0, 0, 1]
2	—> [0, 0, 1, 0]
3	—> [0, 0, 1, 1]
4	—> [0, 1, 0, 0]
5	—> [0, 1, 0, 1]
6	—> [0, 1, 1, 0]
7	—> [0, 1, 1, 1]
8	—> [1, 0, 0, 0]
9	—> [1, 0, 0, 1]
10	—> [1, 0, 1, 0]
11	—> [1, 0, 1, 1]
12	—> [1, 1, 0, 0]
13	—> [1, 1, 0, 1]
14	—> [1, 1, 1, 0]
15	—> [1, 1, 1, 1]
+————+————————————————————————————————+——————————————————+———+
| k  |               w                |        y         | E |
+————+————————————————————————————————+——————————————————+———+
| 1  |  -0.60 -0.30 -0.60  0.30  0.30 | 0001000000000000 | 2 |
| 2  |  -0.60 -0.60 -0.60  0.60  0.60 | 0111000100010000 | 2 |
| 3  |  -0.90 -0.90 -0.60  0.60  0.30 | 0001000000000000 | 2 |
| 4  |  -0.60 -0.90 -0.30  0.90  0.60 | 0111001100010000 | 3 |
| 5  |  -0.90 -0.90 -0.60  0.90  0.60 | 0011000100000000 | 2 |
| 6  |  -0.90 -0.90 -0.30  0.90  0.90 | 0111000100010000 | 2 |
| 7  |  -1.20 -0.90 -0.60  0.90  0.60 | 0001000000000000 | 2 |
| 8  |  -1.20 -1.20 -0.60  0.90  0.60 | 0001000000000000 | 2 |
| 9  |  -0.90 -1.20 -0.30  1.20  0.90 | 0111001100010000 | 3 |
| 10 |  -1.20 -1.20 -0.30  1.20  0.90 | 0011000100000000 | 2 |
| 11 |  -1.50 -1.20 -0.60  0.90  0.90 | 0001000000000000 | 2 |
| 12 |  -1.20 -1.20 -0.30  1.20  1.20 | 0111000100010000 | 2 |
| 13 |  -1.50 -1.20 -0.60  1.20  0.90 | 0001000100000000 | 1 |
| 14 |  -1.50 -1.20 -0.90  1.20  0.90 | 0001000000000000 | 2 |
| 15 |  -1.20 -1.20 -0.60  1.50  1.20 | 0111000100010000 | 2 |
| 16 |  -1.50 -1.20 -0.30  1.50  1.20 | 0011000100010000 | 1 |
| 17 |  -1.80 -1.20 -0.60  1.20  1.20 | 0001000100000000 | 1 |
| 18 |  -1.80 -1.20 -0.90  1.20  1.20 | 0001000000000000 | 2 |
| 19 |  -1.50 -1.20 -0.60  1.50  1.50 | 0111000100010000 | 2 |
| 20 |  -1.80 -1.20 -0.90  1.50  1.20 | 0001000100000000 | 1 |
| 21 |  -1.80 -1.20 -1.20  1.50  1.20 | 0001000000000000 | 2 |
| 22 |  -1.50 -1.20 -0.90  1.80  1.50 | 0111000100010000 | 2 |
| 23 |  -1.80 -1.20 -0.60  1.80  1.50 | 0011000100010000 | 1 |
| 24 |  -2.10 -1.20 -0.90  1.50  1.50 | 0001000100000000 | 1 |
| 25 |  -2.10 -1.20 -1.20  1.50  1.50 | 0001000000000000 | 2 |
| 26 |  -1.80 -1.20 -0.90  1.80  1.80 | 0111000100010000 | 2 |
| 27 |  -2.10 -1.20 -0.90  1.80  1.50 | 0001000100010000 | 0 |
+————+————————————————————————————————+——————————————————+———+
