NET LEARNED FROM SETS {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}
0	—> [0, 0, 0, 0]
1	—> [0, 0, 0, 1]
2	—> [0, 0, 1, 0]
3	—> [0, 0, 1, 1]
4	—> [0, 1, 0, 0]
5	—> [0, 1, 0, 1]
6	—> [0, 1, 1, 0]
7	—> [0, 1, 1, 1]
8	—> [1, 0, 0, 0]
9	—> [1, 0, 0, 1]
10	—> [1, 0, 1, 0]
11	—> [1, 0, 1, 1]
12	—> [1, 1, 0, 0]
13	—> [1, 1, 0, 1]
14	—> [1, 1, 1, 0]
15	—> [1, 1, 1, 1]
+————+————————————————————————————————+——————————————————+———+
| k  |               w                |        y         | E |
+————+————————————————————————————————+——————————————————+———+
| 1  |  -0.30 -0.30  0.00  0.60  0.30 | 0111011100110011 | 3 |
| 2  |  -0.30  0.00  0.00  1.20  0.00 | 0011001100110011 | 1 |
| 3  |  -0.60  0.00  0.00  0.90  0.00 | 0011001100110011 | 1 |
| 4  |  -0.60  0.00  0.00  0.90  0.30 | 0011001100110011 | 1 |
| 5  |  -0.60  0.00  0.30  1.20  0.00 | 0011001100110011 | 1 |
| 6  |  -0.90  0.00  0.30  0.90  0.00 | 0011001100110011 | 1 |
| 7  |  -0.90  0.00  0.30  0.90  0.30 | 0011001100110011 | 1 |
| 8  |  -0.90  0.00  0.30  1.20  0.30 | 0011001100110011 | 1 |
| 9  |  -1.20  0.00  0.00  1.20  0.00 | 0011001100110011 | 1 |
| 10 |  -1.20  0.00  0.00  1.20  0.30 | 0011001100110011 | 1 |
| 11 |  -1.20  0.00  0.00  1.20  0.60 | 0011001100110011 | 1 |
| 12 |  -1.20  0.00  0.30  1.20  0.60 | 0011001100110011 | 1 |
| 13 |  -1.20  0.00  0.60  1.50  0.30 | 0011001100110011 | 1 |
| 14 |  -1.50  0.00  0.30  1.50  0.00 | 0011001100110011 | 1 |
| 15 |  -1.50  0.00  0.30  1.50  0.30 | 0011001100110011 | 1 |
| 16 |  -1.50  0.00  0.30  1.50  0.60 | 0011001100110011 | 1 |
| 17 |  -1.50  0.00  0.60  1.50  0.60 | 0011001100110011 | 1 |
| 18 |  -1.80  0.00  0.30  1.50  0.30 | 0001001100010011 | 1 |
| 19 |  -1.50  0.30  0.30  1.80  0.30 | 0011001100110011 | 1 |
| 20 |  -1.80  0.30  0.30  1.50  0.30 | 0001001100110011 | 0 |
+————+————————————————————————————————+——————————————————+———+
