NET LEARNED FROM SETS {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}
0	—> [1, 0, 0, 0, 0, 0]
1	—> [1, 0, 0, 0, 1, 0]
2	—> [1, 0, 0, 1, 0, 0]
3	—> [1, 0, 0, 1, 1, 0]
4	—> [1, 0, 1, 0, 0, 1]
5	—> [1, 0, 1, 0, 1, 1]
6	—> [1, 0, 1, 1, 0, 1]
7	—> [1, 0, 1, 1, 1, 1]
8	—> [1, 1, 0, 0, 0, 0]
9	—> [1, 1, 0, 0, 1, 0]
10	—> [1, 1, 0, 1, 0, 0]
11	—> [1, 1, 0, 1, 1, 0]
12	—> [1, 1, 1, 0, 0, 0]
13	—> [1, 1, 1, 0, 1, 1]
14	—> [1, 1, 1, 1, 0, 1]
15	—> [1, 1, 1, 1, 1, 1]
+————+————————————————————————————————+——————————————————+———+
| k  |               w                |        y         | E |
+————+————————————————————————————————+——————————————————+———+
| 1  |   0.00  0.00  0.60  0.00  0.30 | 1111111111111111 | 9 |
| 2  |  -0.60  0.00  0.60  0.00  0.30 | 0000111100001111 | 1 |
| 3  |  -0.60  0.00  0.60  0.00  0.60 | 0101111101011111 | 5 |
| 4  |  -0.60  0.00  0.90  0.00  0.60 | 0101111101011111 | 5 |
| 5  |  -0.90  0.00  0.90  0.00  0.60 | 0000111100001111 | 1 |
| 6  |  -0.90  0.00  0.90  0.00  0.90 | 0101111101011111 | 5 |
| 7  |  -0.90  0.00  1.20  0.30  0.60 | 0001111100011111 | 3 |
| 8  |  -1.20  0.00  1.20  0.00  0.60 | 0000111100001111 | 1 |
| 9  |  -1.20  0.00  1.20  0.00  0.90 | 0000111100001111 | 1 |
| 10 |  -1.20  0.00  1.20  0.30  0.90 | 0001111100011111 | 3 |
| 11 |  -1.20  0.00  1.50  0.30  0.60 | 0000111100001111 | 1 |
| 12 |  -1.20  0.00  1.50  0.60  0.60 | 0001111100011111 | 3 |
| 13 |  -1.50  0.00  1.50  0.30  0.60 | 0000111100001111 | 1 |
| 14 |  -1.50  0.00  1.50  0.30  0.90 | 0000111100001111 | 1 |
| 15 |  -1.50  0.00  1.50  0.60  0.90 | 0001111100011111 | 3 |
| 16 |  -1.50  0.00  1.80  0.60  0.60 | 0000111100001111 | 1 |
| 17 |  -1.80 -0.30  1.50  0.60  0.60 | 0000011100000111 | 1 |
| 18 |  -1.50 -0.30  1.80  0.60  0.90 | 0001111100001111 | 2 |
| 19 |  -1.80 -0.30  1.80  0.30  0.60 | 0000111100000111 | 0 |
+————+————————————————————————————————+——————————————————+———+
