NET LEARNED FROM SETS {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}
0	—> [0, 0, 0, 0]
1	—> [0, 0, 0, 1]
2	—> [0, 0, 1, 0]
3	—> [0, 0, 1, 1]
4	—> [0, 1, 0, 0]
5	—> [0, 1, 0, 1]
6	—> [0, 1, 1, 0]
7	—> [0, 1, 1, 1]
8	—> [1, 0, 0, 0]
9	—> [1, 0, 0, 1]
10	—> [1, 0, 1, 0]
11	—> [1, 0, 1, 1]
12	—> [1, 1, 0, 0]
13	—> [1, 1, 0, 1]
14	—> [1, 1, 1, 0]
15	—> [1, 1, 1, 1]
+————+————————————————————————————————+——————————————————+———+
| k  |               w                |        y         | E |
+————+————————————————————————————————+——————————————————+———+
| 1  |   0.00  0.00  0.00  0.30  0.30 | 1111111111111111 | 3 |
| 2  |   0.00  0.00  0.00  0.60  0.60 | 1111111111111111 | 3 |
| 3  |  -0.30 -0.30 -0.30  0.60  0.60 | 0111011101110001 | 3 |
| 4  |   0.00 -0.60 -0.30  0.60  0.60 | 1111011101110001 | 2 |
| 5  |   0.30 -0.60 -0.30  0.90  0.60 | 1111111101110111 | 3 |
| 6  |   0.30 -0.60 -0.60  0.90  0.90 | 1111011101110111 | 4 |
| 7  |   0.30 -0.90 -0.60  0.90  0.60 | 1111011101110001 | 2 |
| 8  |   0.60 -0.90 -0.60  0.90  0.90 | 1111111101110111 | 3 |
| 9  |   0.60 -0.90 -0.90  0.90  0.60 | 1111011101110001 | 2 |
| 10 |   0.90 -0.90 -0.60  1.20  0.60 | 1111111111110111 | 2 |
| 11 |   0.60 -1.20 -0.90  1.20  0.30 | 1111011100110001 | 3 |
| 12 |   0.90 -1.20 -0.90  1.20  0.30 | 1111111101110011 | 2 |
| 13 |   1.20 -0.90 -0.90  1.20  0.60 | 1111111111110111 | 2 |
| 14 |   0.90 -1.20 -1.20  1.20  0.30 | 1111011101110001 | 2 |
| 15 |   1.20 -1.20 -0.90  1.20  0.60 | 1111111111110011 | 1 |
| 16 |   1.20 -1.20 -0.90  1.20  0.90 | 1111111111110111 | 2 |
| 17 |   0.90 -1.50 -1.20  1.20  0.60 | 1111011101110001 | 2 |
| 18 |   1.20 -1.50 -1.20  1.20  0.30 | 1111111101110001 | 1 |
| 19 |   1.50 -1.20 -1.20  1.20  0.60 | 1111111111110011 | 1 |
| 20 |   1.50 -1.20 -1.20  1.20  0.90 | 1111111111110111 | 2 |
| 21 |   1.20 -1.50 -1.50  1.20  0.60 | 1111011101110001 | 2 |
| 22 |   1.50 -1.50 -1.20  1.20  0.90 | 1111111111110011 | 1 |
| 23 |   1.50 -1.50 -1.20  1.20  1.20 | 1111111111110111 | 2 |
| 24 |   1.20 -1.80 -1.50  1.20  0.90 | 1111011101110001 | 2 |
| 25 |   1.50 -1.80 -1.50  1.20  0.60 | 1111111101110001 | 1 |
| 26 |   1.80 -1.50 -1.50  1.20  0.90 | 1111111111110011 | 1 |
| 27 |   1.80 -1.50 -1.50  1.20  1.20 | 1111111111110111 | 2 |
| 28 |   1.50 -1.80 -1.80  1.20  0.90 | 1111011101110001 | 2 |
| 29 |   1.80 -1.80 -1.50  1.20  0.90 | 1111111111110001 | 0 |
+————+————————————————————————————————+——————————————————+———+
