Net learned from sets {4, 8, 13, 14, 15}
4 —> [0, 1, 0, 0]
8 —> [1, 0, 0, 0]
13 —> [1, 1, 0, 1]
14 —> [1, 1, 1, 0]
15 —> [1, 1, 1, 1]
+————+————————————————————————————————+——————————————————+————+
| k  |               w                |        y         | E  |
+————+————————————————————————————————+——————————————————+————+
| 0  |   0.00  0.00  0.00  0.00  0.00 | 1111111111111111 | 3  |
| 1  |  -0.04 -0.04 -0.04  0.11 -0.04 | 0011001000100000 | 9  |
| 2  |   0.09 -0.06  0.09  0.24 -0.06 | 1111111110111111 | 4  |
| 3  |   0.08 -0.07  0.08  0.38 -0.07 | 1111111110111111 | 4  |
| 4  |  -0.14 -0.29 -0.14  0.31 -0.14 | 0011001000000000 | 10 |
| 5  |   0.13 -0.16 -0.01  0.30 -0.01 | 1111111100110011 | 3  |
| 6  |   0.10 -0.19 -0.19  0.26 -0.04 | 1111001100110000 | 5  |
| 7  |   0.25 -0.19 -0.04  0.26  0.10 | 1111111111111111 | 3  |
| 8  |   0.24 -0.19 -0.04  0.41  0.09 | 1111111111111111 | 3  |
| 9  |   0.25 -0.19 -0.04  0.55  0.09 | 1111111111111111 | 3  |
| 10 |   0.06 -0.37 -0.22  0.52  0.06 | 1111001100110001 | 4  |
| 11 |   0.17 -0.41 -0.26  0.49  0.02 | 1111001100110001 | 4  |
| 12 |   0.28 -0.45 -0.30  0.45 -0.02 | 1111001100110000 | 5  |
| 13 |   0.40 -0.49 -0.34  0.41 -0.06 | 1111111100110000 | 3  |
| 14 |   0.54 -0.34 -0.34  0.40  0.08 | 1111111111110011 | 1  |
| 15 |   0.54 -0.34 -0.34  0.40  0.22 | 1111111111110111 | 2  |
| 16 |   0.54 -0.34 -0.34  0.55  0.22 | 1111111111110111 | 2  |
| 17 |   0.39 -0.49 -0.49  0.55  0.07 | 1111001100110001 | 4  |
| 18 |   0.54 -0.49 -0.34  0.55  0.21 | 1111111111110011 | 1  |
| 19 |   0.55 -0.48 -0.33  0.56  0.36 | 1111111111110111 | 2  |
| 20 |   0.40 -0.63 -0.48  0.56  0.21 | 1111011100110001 | 3  |
| 21 |   0.55 -0.63 -0.48  0.56  0.06 | 1111111100110001 | 2  |
| 22 |   0.71 -0.47 -0.47  0.57  0.21 | 1111111111110011 | 1  |
| 23 |   0.72 -0.46 -0.46  0.58  0.36 | 1111111111110111 | 2  |
| 24 |   0.57 -0.61 -0.61  0.58  0.21 | 1111011101110001 | 2  |
| 25 |   0.73 -0.60 -0.45  0.59  0.36 | 1111111111110111 | 2  |
| 26 |   0.58 -0.75 -0.60  0.59  0.21 | 1111011101110001 | 2  |
| 27 |   0.73 -0.75 -0.60  0.59  0.06 | 1111111101110001 | 1  |
| 28 |   0.88 -0.59 -0.59  0.59  0.20 | 1111111111110011 | 1  |
| 29 |   0.90 -0.58 -0.58  0.61  0.35 | 1111111111110111 | 2  |
| 30 |   0.75 -0.73 -0.73  0.61  0.20 | 1111111111110001 | 0  |
+————+————————————————————————————————+——————————————————+————+
