+————+————————————————————————————————+——————————————————+———+
| k  |               w                |        y         | E |
+————+————————————————————————————————+——————————————————+———+
| 0  |   0.00  0.00  0.00  0.00  0.00 | 1111111111111111 | 3 |
| 1  |  -0.03 -0.03 -0.03  0.12  0.12 | 0111011101110111 | 5 |
| 2  |   0.12 -0.03 -0.03  0.27  0.27 | 1111111111111111 | 3 |
| 3  |  -0.03 -0.18 -0.18  0.27  0.27 | 0111011101110001 | 3 |
| 4  |   0.12 -0.33 -0.18  0.27  0.27 | 1111011101110001 | 2 |
| 5  |   0.27 -0.33 -0.18  0.41  0.26 | 1111111101110111 | 3 |
| 6  |   0.25 -0.35 -0.35  0.40  0.40 | 1111011101110001 | 2 |
| 7  |   0.26 -0.49 -0.34  0.40  0.26 | 1111011101110001 | 2 |
| 8  |   0.41 -0.49 -0.34  0.40  0.26 | 1111111101110001 | 1 |
| 9  |   0.56 -0.34 -0.34  0.55  0.26 | 1111111111110111 | 2 |
| 10 |   0.41 -0.48 -0.48  0.55  0.11 | 1111011101110001 | 2 |
| 11 |   0.57 -0.47 -0.32  0.55  0.26 | 1111111111110111 | 2 |
| 12 |   0.57 -0.47 -0.32  0.70  0.26 | 1111111111110111 | 2 |
| 13 |   0.39 -0.65 -0.50  0.68  0.23 | 1111011100110001 | 3 |
| 14 |   0.51 -0.68 -0.53  0.65  0.20 | 1111011101110001 | 2 |
| 15 |   0.64 -0.70 -0.55  0.63  0.18 | 1111111101110011 | 2 |
| 16 |   0.81 -0.54 -0.54  0.64  0.33 | 1111111111110111 | 2 |
| 17 |   0.66 -0.69 -0.69  0.64  0.18 | 1111011101110001 | 2 |
| 18 |   0.81 -0.68 -0.53  0.64  0.33 | 1111111111110011 | 1 |
| 19 |   0.82 -0.68 -0.53  0.65  0.48 | 1111111111110111 | 2 |
| 20 |   0.67 -0.82 -0.67  0.65  0.33 | 1111011101110001 | 2 |
| 21 |   0.82 -0.82 -0.67  0.65  0.18 | 1111111101110001 | 1 |
| 22 |   0.98 -0.66 -0.66  0.66  0.33 | 1111111111110011 | 1 |
| 23 |   0.85 -0.80 -0.80  0.53  0.33 | 1111111111110001 | 0 |
+————+————————————————————————————————+——————————————————+———+
