Net learned from sets {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}
0	—> [0, 0, 0, 0]
1	—> [0, 0, 0, 1]
2	—> [0, 0, 1, 0]
3	—> [0, 0, 1, 1]
4	—> [0, 1, 0, 0]
5	—> [0, 1, 0, 1]
6	—> [0, 1, 1, 0]
7	—> [0, 1, 1, 1]
8	—> [1, 0, 0, 0]
9	—> [1, 0, 0, 1]
10	—> [1, 0, 1, 0]
11	—> [1, 0, 1, 1]
12	—> [1, 1, 0, 0]
13	—> [1, 1, 0, 1]
14	—> [1, 1, 1, 0]
15	—> [1, 1, 1, 1]
+————+————————————————————————————————+——————————————————+———+
| k  |               w                |        y         | E |
+————+————————————————————————————————+——————————————————+———+
| 0  |   0.00  0.00  0.00  0.00  0.00 | 1111111111111111 | 3 |
| 1  |  -0.00 -0.00 -0.00  0.07  0.07 | 0111011101110111 | 5 |
| 2  |   0.07 -0.00 -0.00  0.15  0.15 | 1111111111111111 | 3 |
| 3  |  -0.00 -0.08 -0.08  0.15  0.15 | 0111011101110001 | 3 |
| 4  |   0.07 -0.15 -0.08  0.15  0.15 | 1111011101110001 | 2 |
| 5  |   0.15 -0.15 -0.08  0.22  0.15 | 1111111101110111 | 3 |
| 6  |   0.15 -0.15 -0.15  0.22  0.22 | 1111011101110111 | 4 |
| 7  |   0.15 -0.22 -0.15  0.22  0.22 | 1111111101110001 | 1 |
| 8  |   0.15 -0.22 -0.22  0.22  0.15 | 1111011101110001 | 2 |
| 9  |   0.23 -0.22 -0.15  0.29  0.15 | 1111111111110111 | 2 |
| 10 |   0.23 -0.22 -0.15  0.37  0.15 | 1111111111110111 | 2 |
| 11 |   0.15 -0.30 -0.22  0.37  0.07 | 1111011100110001 | 3 |
| 12 |   0.22 -0.30 -0.23  0.37  0.07 | 1111011100110011 | 4 |
| 13 |   0.30 -0.30 -0.23  0.36  0.07 | 1111111101110011 | 2 |
| 14 |   0.30 -0.30 -0.30  0.29  0.07 | 1111111111110011 | 1 |
| 15 |   0.30 -0.30 -0.30  0.29  0.14 | 1111011101110001 | 2 |
| 16 |   0.37 -0.30 -0.23  0.29  0.21 | 1111111111110111 | 2 |
| 17 |   0.30 -0.37 -0.30  0.29  0.14 | 1111011101110001 | 2 |
| 18 |   0.37 -0.37 -0.30  0.29  0.06 | 1111111111110001 | 0 |
+————+————————————————————————————————+——————————————————+———+
