Net learned from sets {4, 8, 13, 14, 15}
4	—> [0, 1, 0, 0]
8	—> [1, 0, 0, 0]
13	—> [1, 1, 0, 1]
14	—> [1, 1, 1, 0]
15	—> [1, 1, 1, 1]
+————+————————————————————————————————+——————————————————+———+
| k  |               w                |        y         | E |
+————+————————————————————————————————+——————————————————+———+
| 0  |   0.00  0.00  0.00  0.00  0.00 | 1111111111111111 | 3 |
| 1  |  -0.01 -0.01 -0.01  0.07 -0.01 | 0011001100110011 | 7 |
| 2  |   0.07 -0.01  0.07  0.14 -0.01 | 1111111111111111 | 3 |
| 3  |  -0.01 -0.09 -0.01  0.14 -0.01 | 0011001100110011 | 7 |
| 4  |   0.06 -0.09 -0.01  0.13 -0.02 | 1111111100110011 | 3 |
| 5  |   0.05 -0.10 -0.10  0.12 -0.02 | 1111001100110000 | 5 |
| 6  |   0.12 -0.10 -0.03  0.12  0.05 | 1111111111110111 | 2 |
| 7  |   0.12 -0.10 -0.03  0.19  0.05 | 1111111111110111 | 2 |
| 8  |   0.12 -0.10 -0.03  0.27  0.05 | 1111111111110111 | 2 |
| 9  |   0.04 -0.18 -0.11  0.26  0.04 | 1111001100110011 | 5 |
| 10 |   0.11 -0.19 -0.11  0.26  0.04 | 1111111100110011 | 3 |
| 11 |   0.11 -0.19 -0.19  0.25  0.03 | 1111001100110001 | 4 |
| 12 |   0.17 -0.20 -0.20  0.25  0.02 | 1111001100110011 | 5 |
| 13 |   0.25 -0.20 -0.12  0.25  0.10 | 1111111111110111 | 2 |
| 14 |   0.25 -0.20 -0.12  0.32  0.10 | 1111111111110111 | 2 |
| 15 |   0.17 -0.28 -0.20  0.32  0.09 | 1111011100110011 | 4 |
| 16 |   0.24 -0.28 -0.20  0.31  0.09 | 1111111101110011 | 2 |
| 17 |   0.24 -0.28 -0.28  0.31  0.09 | 1111011101110001 | 2 |
| 18 |   0.31 -0.28 -0.21  0.31  0.16 | 1111111111110011 | 1 |
| 19 |   0.32 -0.28 -0.21  0.31  0.23 | 1111111111110111 | 2 |
| 20 |   0.24 -0.36 -0.28  0.31  0.16 | 1111011101110001 | 2 |
| 21 |   0.32 -0.36 -0.28  0.31  0.09 | 1111111101110001 | 1 |
| 22 |   0.39 -0.28 -0.28  0.31  0.16 | 1111111111110011 | 1 |
| 23 |   0.32 -0.35 -0.36  0.24  0.16 | 1111011101110001 | 2 |
| 24 |   0.39 -0.35 -0.28  0.24  0.16 | 1111111111110001 | 0 |
+————+————————————————————————————————+——————————————————+———+
