Net learned from sets {4, 8, 13, 14, 15}
4 —> [0, 1, 0, 0]
8 —> [1, 0, 0, 0]
13 —> [1, 1, 0, 1]
14 —> [1, 1, 1, 0]
15 —> [1, 1, 1, 1]
+————+————————————————————————————————+——————————————————+———+
| k  |               w                |        y         | E |
+————+————————————————————————————————+——————————————————+———+
| 0  |   0.00  0.00  0.00  0.00  0.00 | 1111111111111111 | 3 |
| 1  |   0.00  0.00  0.00  0.30  0.00 | 1111111111111111 | 3 |
| 2  |   0.00  0.00  0.00  0.60  0.00 | 1111111111111111 | 3 |
| 3  |   0.00  0.00  0.00  0.90  0.00 | 1111111111111111 | 3 |
| 4  |  -0.30 -0.30 -0.30  0.90  0.00 | 0011001100110011 | 7 |
| 5  |   0.00 -0.30 -0.30  0.90  0.00 | 1111001100110011 | 5 |
| 6  |   0.00 -0.60 -0.30  0.90  0.00 | 1111001100110011 | 5 |
| 7  |   0.30 -0.60 -0.30  0.90  0.00 | 1111111100110011 | 3 |
| 8  |   0.30 -0.60 -0.60  0.90  0.00 | 1111001100110011 | 5 |
| 9  |   0.60 -0.60 -0.30  0.90  0.30 | 1111111111110111 | 2 |
| 10 |   0.60 -0.60 -0.30  1.20  0.30 | 1111111111110111 | 2 |
| 11 |   0.30 -0.90 -0.60  1.20  0.30 | 1111011100110011 | 4 |
| 12 |   0.60 -0.90 -0.60  1.20  0.30 | 1111111100110011 | 3 |
| 13 |   0.60 -0.90 -0.90  1.20  0.30 | 1111001100110011 | 5 |
| 14 |   0.90 -0.90 -0.60  1.20  0.60 | 1111111111110111 | 2 |
| 15 |   0.90 -0.90 -0.60  1.50  0.60 | 1111111111110111 | 2 |
| 16 |   0.60 -1.20 -0.90  1.50  0.60 | 1111011100110011 | 4 |
| 17 |   0.90 -1.20 -0.90  1.50  0.60 | 1111111101110011 | 2 |
| 18 |   0.90 -1.20 -1.20  1.50  0.60 | 1111011101110011 | 3 |
| 19 |   1.20 -1.20 -0.90  1.50  0.90 | 1111111111110111 | 2 |
| 20 |   0.90 -1.50 -1.20  1.50  0.60 | 1111011100110001 | 3 |
| 21 |   1.20 -1.50 -1.20  1.50  0.60 | 1111111101110011 | 2 |
| 22 |   1.50 -1.20 -1.20  1.50  0.90 | 1111111111110111 | 2 |
| 23 |   1.20 -1.50 -1.50  1.50  0.60 | 1111011101110001 | 2 |
| 24 |   1.50 -1.50 -1.20  1.50  0.90 | 1111111111110011 | 1 |
| 25 |   1.50 -1.50 -1.20  1.50  1.20 | 1111111111110111 | 2 |
| 26 |   1.20 -1.80 -1.50  1.50  0.90 | 1111011101110001 | 2 |
| 27 |   1.50 -1.80 -1.50  1.50  0.60 | 1111111101110001 | 1 |
| 28 |   1.80 -1.50 -1.50  1.50  0.90 | 1111111111110011 | 1 |
| 29 |   1.80 -1.50 -1.50  1.50  1.20 | 1111111111110111 | 2 |
| 30 |   1.50 -1.80 -1.80  1.50  0.90 | 1111011101110001 | 2 |
| 31 |   1.80 -1.80 -1.50  1.50  1.20 | 1111111111110011 | 1 |
| 32 |   1.80 -1.80 -1.50  1.50  1.50 | 1111111111110111 | 2 |
| 33 |   1.50 -2.10 -1.80  1.50  1.20 | 1111011101110001 | 2 |
| 34 |   1.80 -2.10 -1.80  1.50  0.90 | 1111111101110001 | 1 |
| 35 |   2.10 -1.80 -1.80  1.50  1.20 | 1111111111110011 | 1 |
| 36 |   2.10 -1.80 -1.80  1.50  1.50 | 1111111111110111 | 2 |
| 37 |   1.80 -2.10 -2.10  1.50  1.20 | 1111011101110001 | 2 |
| 38 |   2.10 -2.10 -1.80  1.50  1.20 | 1111111111110001 | 0 |
+————+————————————————————————————————+——————————————————+———+
