+————+————+————+————+————+———+
| n  | x1 | x2 | x3 | x4 | f |
+————+————+————+————+————+———+
| 0  | 0  | 0  | 0  | 0  | 0 |
| 1  | 0  | 0  | 0  | 1  | 0 |
| 2  | 0  | 0  | 1  | 0  | 0 |
| 3  | 0  | 0  | 1  | 1  | 0 |
| 4  | 0  | 1  | 0  | 0  | 1 |
| 5  | 0  | 1  | 0  | 1  | 1 |
| 6  | 0  | 1  | 1  | 0  | 1 |
| 7  | 0  | 1  | 1  | 1  | 1 |
| 8  | 1  | 0  | 0  | 0  | 0 |
| 9  | 1  | 0  | 0  | 1  | 0 |
| 10 | 1  | 0  | 1  | 0  | 0 |
| 11 | 1  | 0  | 1  | 1  | 0 |
| 12 | 1  | 1  | 0  | 0  | 0 |
| 13 | 1  | 1  | 0  | 1  | 1 |
| 14 | 1  | 1  | 1  | 0  | 1 |
| 15 | 1  | 1  | 1  | 1  | 1 |
+————+————+————+————+————+———+
